Authors;Author full names;Author(s) ID;Title;Year;Fuente;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;DOI;Cited by;Link;Affiliations;Abstract;Indexed Keywords;Author Keywords;Funding Details;Funding Texts;Publisher;ISSN;ISBN;Language of Original Document;Abbreviated Source Title;Document Type;Open Access;Source
"Perez J.P.; Martins I.; Mahauad M.D.; Sarango-Lalangui P.O.";"Perez, Juan P. (57203661856); Martins, Izaias (55820473700); Mahauad, Maria Dolores (57787551000); Sarango-Lalangui, Paul Oswaldo (57195330619)";"57203661856; 55820473700; 57787551000; 57195330619";A bridge between entrepreneurship education, program inspiration, and entrepreneurial intention: the role of individual entrepreneurial orientation. Evidence from Latin American emerging economies;2022;Scopus;Journal of Entrepreneurship in Emerging Economies;;;;;;;10.1108/JEEE-04-2021-0137;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133579189&doi=10.1108%2fJEEE-04-2021-0137&partnerID=40&md5=107712a27ed686b4ca8ee465180e439f;"School of Management, Universidad EAFIT, Medellin, Colombia; Department of Business Science, Universidad Técnica Particular de Loja (UTPL), Loja, Ecuador";;;"Entrepreneurial intention; Entrepreneurship education; Individual entrepreneurial orientation; Program inspiration";;;Emerald Group Holdings Ltd.;20534604;;English;J. Enterpr. Emerg. Econ.;Article;;Scopus
Pérez S.G.;Pérez, Silvia González (55553175500);55553175500;A brief analysis of the situation of women in science, technology, engineering and mathematics;2020;Scopus;CEUR Workshop Proceedings;2709;;;37;46;9;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095449956&partnerID=40&md5=a9584034ee2c211d516a4c1da7094c6b;Department of Chemistry and Exact Sciences, Universidad Técnica Particular de Loja, Ecuador;;"STEM (science, technology, engineering and mathematics); Past and present; Science , Technology , Engineering and Mathematics; Women in science; Professional aspects";"Equity; Science; Scientific research; STEM; Women";;;CEUR-WS;16130073;;English;CEUR Workshop Proc.;Conference paper;;Scopus
"Valdiviezo-Díaz P.; Cordero J.; Reátegui R.; Aguilar J.";"Valdiviezo-Díaz, Priscila (36186316400); Cordero, Jorge (57147043600); Reátegui, Ruth (57163508000); Aguilar, Jose (55434810600)";"36186316400; 57147043600; 57163508000; 55434810600";A business intelligence model for online tutoring process;2015;Scopus;Proceedings - Frontiers in Education Conference, FIE;2015;;7344385;;;;10.1109/FIE.2015.7344385;10;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960422904&doi=10.1109%2fFIE.2015.7344385&partnerID=40&md5=3b06e6974c76d596fa6f9104b905458d;"Departamento Ciencias de la Computación y Electrónica, Universidad Técnica Particular de Loja, Ecuador; Universidad de Los Andes, Mérida, Venezuela; Universidad Técnica Particular de Loja, Ecuador";;;"Business Intelligence Systems; Data Warehouses; Learning Analytics; Online Tutoring";;;Institute of Electrical and Electronics Engineers Inc.;15394565;978-147998453-4;English;Proc. Front. Educ. Conf. FIE;Conference paper;;Scopus
"Rohoden K.; Estrada R.; Otrok H.; Dziong Z.";"Rohoden, Katty (56582446900); Estrada, Rebeca (55548968500); Otrok, Hadi (20436645500); Dziong, Zbigniew (6603795154)";"56582446900; 55548968500; 20436645500; 6603795154";A coalitional game for femtocell clustering in OFDMA macro-femtocell networks;2016;Scopus;2016 17th International Telecommunications Network Strategy and Planning Symposium, Networks 2016 - Conference Proceedings;;;7751179;221;226;5;10.1109/NETWKS.2016.7751179;6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006961142&doi=10.1109%2fNETWKS.2016.7751179&partnerID=40&md5=3c0e04a99fa69f89fe41e71e7e37eb46;;;;;;;Institute of Electrical and Electronics Engineers Inc.;;978-146738991-4;English;Int. Telecommun. Netw. Strategy Plan. Symp., Netw. - Conf. Proc.;Conference paper;;Scopus
"Valdiviezo-Diaz P.; Ortega F.; Cobos E.; Lara-Cabrera R.";"Valdiviezo-Diaz, Priscila (36186316400); Ortega, Fernando (7102751967); Cobos, Eduardo (57210598633); Lara-Cabrera, Raul (55637539700)";"36186316400; 7102751967; 57210598633; 55637539700";A Collaborative Filtering Approach Based on Naïve Bayes Classifier;2019;Scopus;IEEE Access;7;;8787761;108581;108592;11;10.1109/ACCESS.2019.2933048;36;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071079499&doi=10.1109%2fACCESS.2019.2933048&partnerID=40&md5=58eb7a7af57f8a16a6a35ab9017e4f5d;;;"Bayesian networks; Factorization; Recommender systems; Bayes Classifier; Information overloads; Item-based collaborative filtering; Matrix factorizations; Quality measures; Rating information; Reliability measure; State of the art; Collaborative filtering";"collaborative filtering; hybrid CF; Naïve Bayes classifier; Recommender systems; reliability measure";Universidad Técnica Particular de Loja;This work was supported by the Universidad Técnica Particular de Loja.;Institute of Electrical and Electronics Engineers Inc.;21693536;;English;IEEE Access;Article;"All Open Access; Gold Open Access";Scopus
"Yaguache J.J.; Yaguana H.; Suing A.";"Yaguache, Jenny J. (56358757700); Yaguana, Hernán (56891572100); Suing, Abel (56367183900)";"56358757700; 56891572100; 56367183900";A communication law feared and discussed by the press: The case of ecuador;2017;Scopus;Advances in Intelligent Systems and Computing;503;;;133;138;5;10.1007/978-3-319-46068-0_17;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997402910&doi=10.1007%2f978-3-319-46068-0_17&partnerID=40&md5=5912002aa3ad77883ae3b7742759bde9;Universidad Técnica Particular de Loja (UTPL), Loja, Ecuador;;"Computer programming; Academic research; Communication policies; Newspapers; nocv1; Professional practices; Regulation; Regulatory process; Social media; Telecommunications law; Computer science";"Communication policies; Newspapers; Regulation; Social media";;;Springer Verlag;21945357;;English;Adv. Intell. Sys. Comput.;Book chapter;;Scopus
"Díaz Villavicencio G.J.; Zumbazúñiga M.F.; Didonet S.; Cahen P.M.";"Díaz Villavicencio, Guillermo Javier (55377993000); Zumbazúñiga, Maria Fernanda (56495357400); Didonet, Simone (55377844000); Cahen, Paul M. (56494631500)";"55377993000; 56495357400; 55377844000; 56494631500";A comparative analysis of penitentiary management systems in Chile, Spain and the United Kingdom;2015;Scopus;Espacios;36;1;;;;4;;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921821664&partnerID=40&md5=cdd5765e4e0412415995e4e19e07dc11;;;;"Economic gap; Economic valuation; Penitentiary management; Public services";;;Revista Espacios;7981015;;English;Espacios;Article;;Scopus
"Ortiz-Torres C.; Reátegui R.; Valdiviezo-Diaz P.; Barba-Guaman L.";"Ortiz-Torres, Christian (58102222600); Reátegui, Ruth (57163508000); Valdiviezo-Diaz, Priscila (36186316400); Barba-Guaman, Luis (57188564165)";"58102222600; 57163508000; 36186316400; 57188564165";A Comparison of Machine Learning Algorithms to Predict Cervical Cancer on Imbalanced Data;2023;Scopus;Communications in Computer and Information Science;1755 CCIS;;;118;129;11;10.1007/978-3-031-24985-3_9;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147983195&doi=10.1007%2f978-3-031-24985-3_9&partnerID=40&md5=1c219e0872e060bf37daa0cfe2c0fb54;Universidad Técnica Particular de Loja, Loja, 101608, Ecuador;;;"Cervical cancer; Imbalanced data techniques; Machine learning; Prediction";;;Springer Science and Business Media Deutschland GmbH;18650929;978-303124984-6;English;Commun. Comput. Info. Sci.;Conference paper;;Scopus
"Valdiviezo-Diaz P.; Hernando A.";"Valdiviezo-Diaz, Priscila (36186316400); Hernando, Antonio (35459043500)";"36186316400; 35459043500";"A comprehensive view of recommendation methods based on probabilistic techniques; [Una Comprensiva Revisión de los Métodos de Recomendación basados en Técnicas Probabilísticas]";2016;Scopus;Iberian Conference on Information Systems and Technologies, CISTI;2016-July;;7521413;;;;10.1109/CISTI.2016.7521413;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982124743&doi=10.1109%2fCISTI.2016.7521413&partnerID=40&md5=ecdcf194d0f23c61189a79281854ad6e;"Departamento de Ciencias de la Computación y Electrónica, Universidad Técnica Particular de Loja, Loja, Ecuador; Universidad Politécnica de Madrid, Madrid, Spain";;;"factorization matrix; Latent Dirichlet Allocation; recommender systemt; topic model";;;IEEE Computer Society;21660727;978-989984346-2;Spanish;Iberian Conf. Inf. Syst. Technol., CISTI;Conference paper;;Scopus
"Chicaiza J.; Piedra N.; Lopez J.; Quituisaca L.; Montano-Sosoranga F.; Medina P.; Tovar-Caro E.";"Chicaiza, Janneth (56535509300); Piedra, Nelson (57197836159); Lopez, Jorge (57212786213); Quituisaca, Lilia (57191905136); Montano-Sosoranga, Fabricio (57191899979); Medina, Paul (57198392672); Tovar-Caro, Edmundo (7006312550)";"56535509300; 57197836159; 57212786213; 57191905136; 57191899979; 57198392672; 7006312550";A contribution to encourage the dissemination of academic publishing: Finding diffusion media by means of a search engine based on semantic technologies;2016;Scopus;IEEE Global Engineering Education Conference, EDUCON;10-13-April-2016;;7474652;854;859;5;10.1109/EDUCON.2016.7474652;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994577132&doi=10.1109%2fEDUCON.2016.7474652&partnerID=40&md5=b4755003fe4a01dd27de8519f7b2300a;;;;"academic production; diffusion media; especialized search engine; linked data; Publishing; semantic web";;;IEEE Computer Society;21659559;978-146738633-3;English;IEEE Global Eng. Edu. Conf., EDUCON;Conference paper;;Scopus
"Tapia S.A.A.; Gomez A.H.F.; Corbacho J.B.; Ratté S.; Torres-Diaz J.; Torres-Carrion P.V.; García J.M.";;"57189025497; 55749539400; 56486928100; 6603606285; 56246776800; 56495447800; 56921726400";A contribution to the method of automatic identification of human emotions by using semantic structures;2015;Scopus;Proceedings of 2014 International Conference on Interactive Collaborative Learning, ICL 2014;;;7017748;60;70;10;10.1109/ICL.2014.7017748;5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922948704&doi=10.1109%2fICL.2014.7017748&partnerID=40&md5=decdcc6ac3fbe384443c07207f61f056;"Universidad Técnica Particular de Loja, Departamento de Computación y Electrónica, France; ETS, Montreal, Computer Science Departament, France; Universidad Técnica Particular de Loja, Departamento de Ciencias Naturales, France";;"Algorithms; Automation; Semantics; Software testing; Automatic identification; Complex emotions; Human behaviors; Human emotion; Multisensory; Semantic structures; Testing phase; Behavioral research";"Complex Emotions; Human Emotions; Semantic Structures";;;Institute of Electrical and Electronics Engineers Inc.;;978-147994437-8;English;Proc. Int. Conf. Interact. Collab. Learn., ICL;Conference paper;;Scopus
